risk_regime,moisture_profile,forecast_24h_total_mm,soil_saturation_1h_ago,fc_vwc,sat_vwc,idf_24h_mm,max_sat,risk_internal,risk_display,risk_category,base_soil_risk,storm_factor,site_sensitivity_factor,delta_risk,delta_base_soil_risk,delta_storm_factor,delta_site_sensitivity,category_changed,qc_failed,qc_used_fallback,qc_all_sensors_normal
HIGH,wet,90.0,0.8,0.36,0.48,60.91,0.82889337913012,78.52110809476495,78.52110809476495,SEVERE,55.02817067388549,1.4775898867181088,0.2889337913011991,15.39085724082473,0.0,0.9680090062621666,0.0,True,False,False,True
HIGH,wet,95.0,0.8,0.36,0.48,60.91,0.82889337913012,78.8774176456483,78.8774176456483,SEVERE,55.02817067388549,1.5,0.2889337913011991,15.747166791708068,0.0,0.9904191195440578,0.0,True,False,False,True
HIGH,wet,100.0,0.8,0.36,0.48,60.91,0.82889337913012,78.8774176456483,78.8774176456483,SEVERE,55.02817067388549,1.5,0.2889337913011991,15.747166791708068,0.0,0.9904191195440578,0.0,True,False,False,True
SEVERE,wet,0.0,0.0,0.36,0.48,60.91,0.6622267124634531,40.44483734055215,40.44483734055215,MODERATE,40.44483734055215,0.0,1.0,-49.80073552029898,0.0,-1.231324905598424,0.0,True,False,False,True
SEVERE,wet,5.0,0.0,0.36,0.48,60.91,0.6622267124634531,40.44483734055215,40.44483734055215,MODERATE,40.44483734055215,0.0,1.0,-49.80073552029898,0.0,-1.231324905598424,0.0,True,False,False,True
SEVERE,wet,10.0,0.0,0.36,0.48,60.91,0.6622267124634531,40.44483734055215,40.44483734055215,MODERATE,40.44483734055215,0.0,1.0,-49.80073552029898,0.0,-1.231324905598424,0.0,True,False,False,True
SEVERE,wet,15.0,0.0,0.36,0.48,60.91,0.6622267124634531,40.44483734055215,40.44483734055215,MODERATE,40.44483734055215,0.0,1.0,-49.80073552029898,0.0,-1.231324905598424,0.0,True,False,False,True
SEVERE,wet,20.0,0.0,0.36,0.48,60.91,0.6622267124634531,42.08304439281037,42.08304439281037,MODERATE,40.44483734055215,0.040504725942256806,1.0,-48.162528468040755,0.0,-1.190820179656167,0.0,True,False,False,True
SEVERE,wet,25.0,0.0,0.36,0.48,60.91,0.6622267124634531,46.82597158521979,46.82597158521979,MODERATE,40.44483734055215,0.15777376457067807,1.0,-43.41960127563134,0.0,-1.0735511410277458,0.0,True,False,False,True
SEVERE,wet,30.0,0.0,0.36,0.48,60.91,0.6622267124634531,51.56889877762922,51.56889877762922,HIGH,40.44483734055215,0.2750428031990994,1.0,-38.676674083221904,0.0,-0.9562821023993244,0.0,True,False,False,True
SEVERE,wet,35.0,0.0,0.36,0.48,60.91,0.6622267124634531,56.311825970038655,56.311825970038655,HIGH,40.44483734055215,0.39231184182752077,1.0,-33.93374689081247,0.0,-0.8390130637709031,0.0,True,False,False,True
SEVERE,wet,40.0,0.0,0.36,0.48,60.91,0.6622267124634531,61.05475316244807,61.05475316244807,HIGH,40.44483734055215,0.5095808804559422,1.0,-29.190819698403054,0.0,-0.7217440251424817,0.0,True,False,False,True
SEVERE,wet,45.0,0.0,0.36,0.48,60.91,0.6622267124634531,65.7976803548575,65.7976803548575,HIGH,40.44483734055215,0.6268499190843635,1.0,-24.44789250599362,0.0,-0.6044749865140604,0.0,True,False,False,True
SEVERE,wet,50.0,0.0,0.36,0.48,60.91,0.6622267124634531,70.54060754726693,70.54060754726693,HIGH,40.44483734055215,0.7441189577127847,1.0,-19.704965313584196,0.0,-0.4872059478856392,0.0,True,False,False,True
SEVERE,wet,55.0,0.0,0.36,0.48,60.91,0.6622267124634531,75.28353473967636,75.28353473967636,SEVERE,40.44483734055215,0.8613879963412062,1.0,-14.962038121174771,0.0,-0.36993690925721767,0.0,False,False,False,True
SEVERE,wet,60.0,0.0,0.36,0.48,60.91,0.6622267124634531,80.0264619320858,80.0264619320858,SEVERE,40.44483734055215,0.9786570349696275,1.0,-10.219110928765332,0.0,-0.25266787062879636,0.0,False,False,False,True
SEVERE,wet,65.0,0.0,0.36,0.48,60.91,0.6622267124634531,83.60547479147793,83.60547479147793,SEVERE,40.44483734055215,1.0671482515186341,1.0,-6.640098069373195,0.0,-0.16417665407978976,0.0,False,False,False,True
SEVERE,wet,70.0,0.0,0.36,0.48,60.91,0.6622267124634531,86.92552382616454,86.92552382616454,SEVERE,40.44483734055215,1.149236578558529,1.0,-3.3200490346865905,0.0,-0.08208832703989488,0.0,False,False,False,True
SEVERE,wet,75.0,0.0,0.36,0.48,60.91,0.6622267124634531,90.24557286085113,90.24557286085113,SEVERE,40.44483734055215,1.231324905598424,1.0,0.0,0.0,0.0,0.0,False,False,False,True
SEVERE,wet,80.0,0.0,0.36,0.48,60.91,0.6622267124634531,93.56562189553773,93.56562189553773,SEVERE,40.44483734055215,1.313413232638319,1.0,3.3200490346866047,0.0,0.0820883270398951,0.0,False,False,False,True
SEVERE,wet,85.0,0.0,0.36,0.48,60.91,0.6622267124634531,96.88567093022434,96.88567093022434,SEVERE,40.44483734055215,1.3955015596782139,1.0,6.6400980693732095,0.0,0.16417665407978999,0.0,False,False,False,True
SEVERE,wet,90.0,0.0,0.36,0.48,60.91,0.6622267124634531,100.20571996491093,100.0,SEVERE,40.44483734055215,1.4775898867181088,1.0,9.754427139148873,0.0,0.24626498111968487,0.0,False,False,False,True
SEVERE,wet,95.0,0.0,0.36,0.48,60.91,0.6622267124634531,101.11209335138037,100.0,SEVERE,40.44483734055215,1.5,1.0,9.754427139148873,0.0,0.2686750944015761,0.0,False,False,False,True
SEVERE,wet,100.0,0.0,0.36,0.48,60.91,0.6622267124634531,101.11209335138037,100.0,SEVERE,40.44483734055215,1.5,1.0,9.754427139148873,0.0,0.2686750944015761,0.0,False,False,False,True
